Date,PriceValue,key,ShillerPERatio,Earnings,TreasuryRate,Unemployment,CPI,USRealGDP,PriceDiff,ShillerPERatioDiff,EarningsDiff,TreasuryRateDiff,UnemploymentDiff,CPIDiff,USRealGDPDiff,MTrend
1996-12-01,743.25,1996-12,27.72,74.08,6.3,5.4,158.6,11.22,0.010303532834015305,0.14000000000000057,0.024053082665192127,0.09999999999999964,0.0,0.0,0.010810810810810922,Neutral
1997-01-01,766.22,1997-01,28.33,74.81,6.58,5.3,159.1,11.22,0.030904809956273205,0.6099999999999994,0.009854211663067103,0.28000000000000025,-0.10000000000000053,0.0031525851197982124,0.0,Bullish
1997-02-01,798.39,1997-02,29.26,75.53,6.42,5.2,159.6,11.22,0.0419853305839053,0.9300000000000033,0.009624381767143309,-0.16000000000000014,-0.09999999999999964,0.00314267756128217,0.0,Bullish
1997-03-01,792.16,1997-03,28.8,76.3,6.69,5.2,160.0,11.29,-0.007803203947945314,-0.46000000000000085,0.010194624652456019,0.27000000000000046,0.0,0.0025062656641603454,0.0062388591800355275,Bearish
1997-04-01,763.93,1997-04,27.58,76.4,6.89,5.1,160.2,11.29,-0.035636740052514715,-1.2200000000000024,0.001310615989515096,0.1999999999999993,-0.10000000000000053,0.0012499999999999734,0.0,Bearish
1997-05-01,833.09,1997-05,29.93,76.64,6.71,4.9,160.1,11.29,0.09053185501289396,2.3500000000000014,0.003141361256544517,-0.17999999999999972,-0.1999999999999993,-0.0006242197253433224,0.0,Bullish
1997-06-01,876.29,1997-06,31.25,76.74,6.49,5.0,160.3,11.48,0.05185514170137662,1.3200000000000003,0.0013048016701460163,-0.21999999999999975,0.09999999999999964,0.0012492192379762734,0.016829052258636068,Bullish
1997-07-01,925.29,1997-07,32.76,76.7,6.22,4.9,160.5,11.48,0.055917561537847105,1.509999999999998,-0.0005212405525149011,-0.27000000000000046,-0.09999999999999964,0.0012476606363067688,0.0,Bullish
1997-08-01,927.24,1997-08,32.58,76.61,6.3,4.8,160.8,11.48,0.0021074473948707872,-0.17999999999999972,-0.0011734028683181297,0.08000000000000007,-0.10000000000000053,0.0018691588785046953,0.0,Neutral
1997-09-01,937.02,1997-09,32.66,76.48,6.21,4.9,161.2,11.62,0.010547431085802916,0.0799999999999983,-0.0016969064090849306,-0.08999999999999986,0.10000000000000053,0.0024875621890545485,0.012195121951219301,Neutral
1997-10-01,951.16,1997-10,32.9,75.72,6.03,4.7,161.6,11.62,0.015090392947855857,0.240000000000002,-0.009937238493723966,-0.17999999999999972,-0.20000000000000018,0.002481389578163906,0.0,Neutral
1997-11-01,938.92,1997-11,32.33,75.19,5.88,4.6,161.5,11.62,-0.012868497413684343,-0.5700000000000003,-0.006999471737982099,-0.15000000000000036,-0.10000000000000053,-0.0006188118811880639,0.0,Bearish
1997-12-01,962.37,1997-12,33.03,74.7,5.81,4.7,161.3,11.72,0.02497550377028923,0.7000000000000028,-0.006516824045750713,-0.07000000000000028,0.10000000000000053,-0.0012383900928791824,0.008605851979346157,Bullish
1998-01-01,963.36,1998-01,32.86,74.45,5.54,4.6,161.6,11.72,0.0010287103712709467,-0.1700000000000017,-0.0033467202141901353,-0.2699999999999996,-0.10000000000000053,0.0018598884066955979,0.0,Bearish
1998-02-01,1023.74,1998-02,34.71,74.2,5.57,4.6,161.9,11.72,0.0626764657033716,1.8500000000000014,-0.00335795836131636,0.03000000000000025,0.0,0.0018564356435644136,0.0,Bullish
1998-03-01,1076.83,1998-03,36.29,73.95,5.65,4.7,162.2,11.84,0.05185887041631654,1.5799999999999983,-0.003369272237196741,0.08000000000000007,0.10000000000000053,0.0018529956763433386,0.010238907849829282,Bullish
1998-04-01,1112.2,1998-04,37.27,73.46,5.64,4.3,162.5,11.84,0.03284641029688995,0.980000000000004,-0.006626098715348361,-0.010000000000000675,-0.40000000000000036,0.0018495684340320562,0.0,Bullish
1998-05-01,1108.42,1998-05,36.95,72.97,5.65,4.4,162.8,11.84,-0.003398669304081947,-0.3200000000000003,-0.006670296760141525,0.010000000000000675,0.10000000000000053,0.0018461538461538307,0.0,Bearish
1998-06-01,1108.39,1998-06,36.8,72.53,5.5,4.5,163.0,11.95,-2.7065552768767986e-05,-0.15000000000000568,-0.0060298752912155695,-0.15000000000000036,0.09999999999999964,0.0012285012285011554,0.00929054054054057,Bearish
1998-07-01,1156.58,1998-07,38.26,71.89,5.46,4.5,163.2,11.95,0.04347747633955534,1.4600000000000009,-0.008823934923479992,-0.040000000000000036,0.0,0.0012269938650306678,0.0,Bullish
